Date,Open,High,Low,Close,Adj Close,Volume
2010-12-06,7824000.000000,8054400.000000,7824000.000000,7881600.000000,6931374.000000,0
2010-12-07,7646400.000000,7905600.000000,7531200.000000,7862400.000000,6914490.000000,0
2010-12-08,7905600.000000,7963200.000000,7670400.000000,7680000.000000,6754080.000000,0
2010-12-09,7560000.000000,7694400.000000,7502400.000000,7632000.000000,6711866.000000,0
2010-12-10,7588800.000000,7704000.000000,7521600.000000,7598400.000000,6682317.000000,0
2010-12-13,7507200.000000,7800000.000000,7468800.000000,7790400.000000,6851169.000000,0
2010-12-14,7416000.000000,7660800.000000,7348800.000000,7598400.000000,6989367.000000,0
2010-12-15,7699200.000000,7867200.000000,7512000.000000,7833600.000000,7205715.000000,0
2010-12-16,7819200.000000,7867200.000000,7612800.000000,7694400.000000,7077672.500000,0
2010-12-17,7689600.000000,7689600.000000,7483200.000000,7536000.000000,6931968.500000,0
2010-12-20,7540800.000000,7684800.000000,7478400.000000,7608000.000000,6998198.000000,0
2010-12-21,7536000.000000,7536000.000000,7368000.000000,7454400.000000,6856909.500000,0
2010-12-22,7497600.000000,7665600.000000,7425600.000000,7440000.000000,6843663.500000,0
2010-12-23,7555200.000000,7555200.000000,7430400.000000,7516800.000000,6914307.500000,0
2010-12-27,7660800.000000,7771200.000000,7430400.000000,7473600.000000,6874570.000000,0
2010-12-28,7492800.000000,7651200.000000,7440000.000000,7560000.000000,6954045.000000,0
2010-12-29,7536000.000000,7632000.000000,7497600.000000,7536000.000000,6931968.500000,0
2010-12-30,7526400.000000,7579200.000000,7435200.000000,7473600.000000,6874570.000000,0
2010-12-31,7531200.000000,7584000.000000,7454400.000000,7502400.000000,6901061.500000,0
2011-01-03,7372800.000000,7406400.000000,7075200.000000,7344000.000000,6755358.000000,0
2011-01-04,7272000.000000,7526400.000000,7161600.000000,7305600.000000,6720035.500000,0
2011-01-05,7430400.000000,7468800.000000,7176000.000000,7219200.000000,6640561.000000,0
2011-01-06,7156800.000000,7156800.000000,6806400.000000,6816000.000000,6269679.000000,0
2011-01-07,6811200.000000,7089600.000000,6686400.000000,6772800.000000,6229940.500000,0
2011-01-10,6840000.000000,6883200.000000,6528000.000000,6561600.000000,6035670.000000,0
2011-01-11,6451200.000000,6619200.000000,6446400.000000,6494400.000000,5973856.000000,0
2011-01-12,6456000.000000,6456000.000000,6124800.000000,6124800.000000,5633880.000000,1
2011-01-13,6139200.000000,6225600.000000,6038400.000000,6091200.000000,5602974.000000,0
2011-01-14,6057600.000000,6062400.000000,5625600.000000,5635200.000000,5183523.000000,1
2011-01-18,5683200.000000,5779200.000000,5620800.000000,5688000.000000,5232091.500000,0
